"No";"Kode Wilayah";"Wilayah";"Tahun";"DATA PENDUDUK HASIL KONSOLIDASI BERSIH ";"";"";"";""
"1";"32. 04. 05";"CILEUNYI";"2018";"167.228";"";"";"";""
"2";"32. 04. 06";"CIMENYAN";"2018";"106.373";"";"";"";""
"3";"32. 04. 07";"CILENGKRANG";"2018";"50.36";"";"";"";""
"4";"32. 04. 08";"BOJONGSOANG";"2018";"103.148";"";"";"";""
"5";"32. 04. 09";"MARGAHAYU";"2018";"118.04";"";"";"";""
"6";"32. 04. 10";"MARGAASIH";"2018";"144.914";"";"";"";""
"7";"32. 04. 11";"KATAPANG";"2018";"123.089";"";"";"";""
"8";"32. 04. 12";"DAYEUHKOLOT";"2018";"105.48";"";"";"";""
"9";"32. 04. 13";"BANJARAN";"2018";"131.627";"";"";"";""
"10";"32. 04. 14";"PAMEUNGPEUK";"2018";"83.362";"";"";"";""
"11";"32. 04. 15";"PANGALENGAN";"2018";"157.758";"";"";"";""
"12";"32. 04. 16";"ARJASARI";"2018";"104.221";"";"";"";""
"13";"32. 04. 17";"CIMAUNG";"2018";"85.935";"";"";"";""
"14";"32. 04. 25";"CICALENGKA";"2018";"121.803";"";"";"";""
"15";"32. 04. 26";"NAGREG";"2018";"57.541";"";"";"";""
"16";"32. 04. 27";"CIKANCUNG";"2018";"94.34";"";"";"";""
"17";"32. 04. 28";"RANCAEKEK";"2018";"181.281";"";"";"";""
"18";"32. 04. 29";"CIPARAY";"2018";"171.258";"";"";"";""
"19";"32. 04. 30";"PACET";"2018";"111.623";"";"";"";""
"20";"32. 04. 31";"KERTASARI";"2018";"71.819";"";"";"";""
"21";"32. 04. 32";"BALEENDAH";"2018";"251.534";"";"";"";""
"22";"32. 04. 33";"MAJALAYA";"2018";"160.546";"";"";"";""
"23";"32. 04. 34";"SOLOKANJERUK";"2018";"87.009";"";"";"";""
"24";"32. 04. 35";"PASEH";"2018";"133.58";"";"";"";""
"25";"32. 04. 36";"IBUN";"2018";"86.89";"";"";"";""
"26";"32. 04. 37";"SOREANG";"2018";"116.106";"";"";"";""
"27";"32. 04. 38";"PASIRJAMBU";"2018";"92.251";"";"";"";""
"28";"32. 04. 39";"CIWIDEY";"2018";"86.842";"";"";"";""
"29";"32. 04. 40";"RANCABALI";"2018";"52.58";"";"";"";""
"30";"32. 04. 44";"CANGKUANG";"2018";"76.994";"";"";"";""
"31";"32. 04. 46";"KUTAWARINGIN";"2018";"100.46";"";"";"";""
"32";"32. 04. 05";"CILEUNYI";"2019";"169.547";"";"";"";""
"33";"32. 04. 06";"CIMENYAN";"2019";"106.999";"";"";"";""
"34";"32. 04. 07";"CILENGKRANG";"2019";"50.938";"";"";"";""
"35";"32. 04. 08";"BOJONGSOANG";"2019";"104.31";"";"";"";""
"36";"32. 04. 09";"MARGAHAYU";"2019";"119.158";"";"";"";""
"37";"32. 04. 10";"MARGAASIH";"2019";"145.576";"";"";"";""
"38";"32. 04. 11";"KATAPANG";"2019";"125.427";"";"";"";""
"39";"32. 04. 12";"DAYEUHKOLOT";"2019";"105.502";"";"";"";""
"40";"32. 04. 13";"BANJARAN";"2019";"131.934";"";"";"";""
"41";"32. 04. 14";"PAMEUNGPEUK";"2019";"84.839";"";"";"";""
"42";"32. 04. 15";"PANGALENGAN";"2019";"156.795";"";"";"";""
"43";"32. 04. 16";"ARJASARI";"2019";"104.478";"";"";"";""
"44";"32. 04. 17";"CIMAUNG";"2019";"86.618";"";"";"";""
"45";"32. 04. 25";"CICALENGKA";"2019";"122.322";"";"";"";""
"46";"32. 04. 26";"NAGREG";"2019";"57.883";"";"";"";""
"47";"32. 04. 27";"CIKANCUNG";"2019";"96.091";"";"";"";""
"48";"32. 04. 28";"RANCAEKEK";"2019";"182.967";"";"";"";""
"49";"32. 04. 29";"CIPARAY";"2019";"171.76";"";"";"";""
"50";"32. 04. 30";"PACET";"2019";"114.075";"";"";"";""
"51";"32. 04. 31";"KERTASARI";"2019";"71.779";"";"";"";""
