id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kelompok_umur,jenis_kelamin,jumlah_penduduk,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,00 - 04,LAKI-LAKI,206678,JIWA,2020
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,00 - 04,PEREMPUAN,193538,JIWA,2020
3,32,JAWA BARAT,3201,KABUPATEN BOGOR,05 - 09,LAKI-LAKI,257876,JIWA,2020
4,32,JAWA BARAT,3201,KABUPATEN BOGOR,05 - 09,PEREMPUAN,241365,JIWA,2020
5,32,JAWA BARAT,3201,KABUPATEN BOGOR,10 - 14,LAKI-LAKI,241900,JIWA,2020
6,32,JAWA BARAT,3201,KABUPATEN BOGOR,10 - 14,PEREMPUAN,226584,JIWA,2020
7,32,JAWA BARAT,3201,KABUPATEN BOGOR,15 - 19,LAKI-LAKI,197007,JIWA,2020
8,32,JAWA BARAT,3201,KABUPATEN BOGOR,15 - 19,PEREMPUAN,194918,JIWA,2020
9,32,JAWA BARAT,3201,KABUPATEN BOGOR,20 - 24,LAKI-LAKI,244176,JIWA,2020
10,32,JAWA BARAT,3201,KABUPATEN BOGOR,20 - 24,PEREMPUAN,229487,JIWA,2020
11,32,JAWA BARAT,3201,KABUPATEN BOGOR,25 - 29,LAKI-LAKI,232981,JIWA,2020
12,32,JAWA BARAT,3201,KABUPATEN BOGOR,25 - 29,PEREMPUAN,218413,JIWA,2020
13,32,JAWA BARAT,3201,KABUPATEN BOGOR,30 - 34,LAKI-LAKI,220062,JIWA,2020
14,32,JAWA BARAT,3201,KABUPATEN BOGOR,30 - 34,PEREMPUAN,208029,JIWA,2020
15,32,JAWA BARAT,3201,KABUPATEN BOGOR,35 - 39,LAKI-LAKI,218611,JIWA,2020
16,32,JAWA BARAT,3201,KABUPATEN BOGOR,35 - 39,PEREMPUAN,210068,JIWA,2020
17,32,JAWA BARAT,3201,KABUPATEN BOGOR,40 - 44,LAKI-LAKI,198446,JIWA,2020
18,32,JAWA BARAT,3201,KABUPATEN BOGOR,40 - 44,PEREMPUAN,198417,JIWA,2020
19,32,JAWA BARAT,3201,KABUPATEN BOGOR,45 - 49,LAKI-LAKI,178103,JIWA,2020
20,32,JAWA BARAT,3201,KABUPATEN BOGOR,45 - 49,PEREMPUAN,173744,JIWA,2020
21,32,JAWA BARAT,3201,KABUPATEN BOGOR,50 - 54,LAKI-LAKI,147246,JIWA,2020
22,32,JAWA BARAT,3201,KABUPATEN BOGOR,50 - 54,PEREMPUAN,138945,JIWA,2020
23,32,JAWA BARAT,3201,KABUPATEN BOGOR,55 - 59,LAKI-LAKI,107518,JIWA,2020
