"No";"Kode Wilayah";"Wilayah";"Tahun";"Jumlah Prioritas RTLH ";"";"";"";""
"1";"32.04.16";"Arjasari";"2021";"1.474";"";"";"";""
"2";"32.04.32";"Baleendah";"2021";"686";"";"";"";""
"3";"32.04.13";"Banjaran";"2021";"1.244";"";"";"";""
"4";"32.04.08";"Bojongsoang";"2021";"503";"";"";"";""
"5";"32.04.44";"Cangkuang";"2021";"798";"";"";"";""
"6";"32.04.25";"Cicalengka";"2021";"1.509";"";"";"";""
"7";"32.04.27";"Cikancung";"2021";"1.397";"";"";"";""
"8";"32.04.07";"Cilengkrang";"2021";"614";"";"";"";""
"9";"32.04.05";"Cileunyi";"2021";"995";"";"";"";""
"10";"32.04.17";"Cimaung";"2021";"1.079";"";"";"";""
"11";"32.04.06";"Cimenyan";"2021";"786";"";"";"";""
"12";"32.04.29";"Ciparay";"2021";"1.461";"";"";"";""
"13";"32.04.39";"Ciwidey";"2021";"1.207";"";"";"";""
"14";"32.04.12";"Dayeuhkolot";"2021";"273";"";"";"";""
"15";"32.04.36";"Ibun";"2021";"1.492";"";"";"";""
"16";"32.04.11";"Katapang";"2021";"607";"";"";"";""
"17";"32.04.31";"Kertasari";"2021";"501";"";"";"";""
"18";"32.04.46";"Kutawaringin";"2021";"1.377";"";"";"";""
"19";"32.04.33";"Majalaya";"2021";"1.49";"";"";"";""
"20";"32.04.10";"Margaasih";"2021";"374";"";"";"";""
"21";"32.04.09";"Margahayu";"2021";"106";"";"";"";""
"22";"32.04.26";"Nagreg";"2021";"892";"";"";"";""
"23";"32.04.30";"Pacet";"2021";"1.578";"";"";"";""
"24";"32.04.14";"Pameungpeuk";"2021";"795";"";"";"";""
"25";"32.04.15";"Pangalengan";"2021";"1.13";"";"";"";""
"26";"32.04.35";"Paseh";"2021";"1.652";"";"";"";""
"27";"32.04.38";"Pasirjambu";"2021";"763";"";"";"";""
"28";"32.04.40";"Rancabali";"2021";"248";"";"";"";""
"29";"32.04.28";"Rancaekek";"2021";"1.726";"";"";"";""
"30";"32.04.34";"SolokanJeruk";"2021";"520";"";"";"";""
"31";"32.04.37";"Soreang";"2021";"966";"";"";"";""
"32";"32.04.16";"Arjasari";"2022";"1.129";"";"";"";""
"33";"32.04.32";"Baleendah";"2022";"524";"";"";"";""
"34";"32.04.13";"Banjaran";"2022";"910";"";"";"";""
"35";"32.04.08";"Bojongsoang";"2022";"133";"";"";"";""
"36";"32.04.44";"Cangkuang";"2022";"660";"";"";"";""
"37";"32.04.25";"Cicalengka";"2022";"1.319";"";"";"";""
"38";"32.04.27";"Cikancung";"2022";"1.16";"";"";"";""
"39";"32.04.07";"Cilengkrang";"2022";"411";"";"";"";""
